Links ID,Mean latency increase,isolated network,isolated routers
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592667']",60.0,4,13
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592664']",45.0,4,13
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592669']",40.0,4,13
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592666']",26.66666666666667,4,13
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592669']",0.0,4,13
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592667']",0.0,4,13
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592663']",0.0,4,13
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592667']",0.0,4,13
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592669']",120.0,4,12
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592667']",120.0,4,12
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592669']",77.5,4,12
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668']",77.5,4,12
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592667']",77.5,4,12
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667']",77.5,4,12
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592669']",45.0,4,12
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592664']",45.0,4,12
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592669']",32.5,4,12
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592667']",30.0,4,12
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666']",30.0,4,12
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592667']",17.5,4,12
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592667']",17.5,4,12
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667']",0.0,4,12
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592669']",0.0,4,12
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592665']",0.0,4,12
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665']",0.0,4,12
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592663']",0.0,4,12
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",0.0,4,12
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592667']",-2.5,4,12
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664']",0.0,3,8
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666']",0.0,3,8
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",0.0,3,8
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665']",0.0,3,8
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592664']",0.0,2,4
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665']",0.0,2,4
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592665']",77.5,1,1
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665']",77.5,1,1
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665']",60.0,1,1
